Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55922488,Cinema Speculation,Quentin Tarantino,"Tarantino, Quentin",,"=""0063112582""","=""9780063112582""",0,4.05,HarperCollins,Hardcover,391,2022,2022,,2023/01/13,to-read,to-read (#22),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.13,Knopf,Hardcover,401,2022,2022,,2023/01/07,to-read,to-read (#21),to-read,,,,0,0
16130537,The Humans,Matt Haig,"Haig, Matt",,"=""1476727910""","=""9781476727912""",0,4.08,Simon & Schuster,Hardcover,285,2013,2013,,2023/01/07,to-read,to-read (#20),to-read,,,,0,0
41807452,The Unhappiness of Being a Single Man: Essential Stories,Franz Kafka,"Kafka, Franz",Alexander Starritt,"=""1782274391""","=""9781782274391""",4,3.78,Pushkin Press,Paperback,192,2018,,2022/12/16,2022/12/14,,,read,"This short story collection is full of bizarre stories that often end with me asking, “what?”, but keeps my interest throughout. Kafka is skillful at expressing anxiety and uneasiness in his characters, in turn making the reader feel the same.",,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.33,Avery,Kindle Edition,319,2018,2018,,2022/12/14,to-read,to-read (#19),to-read,,,,0,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",3,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,2022/12/13,2019/04/06,,,read,"1984 is a good novel dragged somewhat by modern context. Orwell wrote this novel in post-war England and depicted a future where: people live in a surveillance state, the public's perception of ""truth"" is clouded by misinformation, and humanity loses itself due to war hysteria and thirst for power.<br/><br/>Winston's (the main protagonist) monologues on the Party's use of misinformation to manipulate the public happens to be a hyperbolic reminder of today's political climate, yet to me it felt somewhat stale and long winded. He also explains the surveillance state and ""new"" technology in great detail, but once again this sounded like something I've heard before. The idea of society being under constant watch by a government entity is now a mainstream topic of debate, and the technology to do it already exists. This made even more of the book slightly tedious to read for me, although, my casual boredom speaks to Orwell's uncanny foresight on how these topics fit into modern society, and if I had read this 10 years ago I might be writing a different review.<br/><br/>Orwell also makes a point that we could lose our humanity by becoming cogs in a destructive, power-hungry machine, despite (or because of) the emergence of new technology and the abundance of resources provided by manufacturing. This would be a palpable prediction coming out of the World Wars and it's even more interesting because it's basically true during the Cold War era in the last half of the 20th century. Americans squirmed under the pretense of nuclear war and destruction, yet it became an ordinary part of life and people went about their lives. But now, in 2022, I believe that we've mostly avoided this fate. War has largely fallen out of favor (I'm thinking of the loss in Vietnam, nuclear disarmament, withdrawal from Afghanistan, and economic globalization) and, more or less, the pretense for war has withered. Now, our generation's hurdles are consumerism, equity, and climate change. In my opinion, if we lose our humanity it will be due to mindless scrolling, a corporate job, or obscurity in history.<br/><br/>As a casual reader, 1984 dragged in bits throughout, shined in the last quarter, and provided some interesting introspection, so ""I liked it"" at 3/5 stars.",,,1,0
49358915,Exercised: Why Something We Never Evolved to Do Is Healthy and Rewarding,Daniel E. Lieberman,"Lieberman, Daniel E.",,"=""1524746983""","=""9781524746988""",0,4.18,Pantheon,Hardcover,464,2021,2021,,2022/12/07,to-read,to-read (#18),to-read,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.27,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2022/12/07,to-read,to-read (#17),to-read,,,,0,0
17987667,The Concept of Anxiety: A Simple Psychologically Oriented Deliberation in View of the Dogmatic Problem of Hereditary Sin,Søren Kierkegaard,"Kierkegaard, Søren",Alastair Hannay,"=""0871407191""","=""9780871407191""",0,3.96,Liveright,Hardcover,256,2014,1844,,2022/11/14,to-read,to-read (#16),to-read,,,,0,0
9300768,The Heroes,Joe Abercrombie,"Abercrombie, Joe",,"=""0316123358""","=""9780316123358""",5,4.34,Orbit,ebook,581,2011,2011,2022/11/13,2022/10/12,,,read,,,,1,0
38412,Fermat's Enigma,Simon Singh,"Singh, Simon",John Lynch,"=""0385493622""","=""9780385493628""",0,4.30,Anchor,Paperback,315,1998,1997,,2022/10/18,to-read,to-read (#15),to-read,,,,0,0
57903929,Illuminations: Stories,Alan             Moore,"Moore, Alan",,"=""1635578809""","=""9781635578805""",0,3.51,Bloomsbury Publishing,Hardcover,464,2022,2022,,2022/10/12,to-read,to-read (#14),to-read,,,,0,0
53330118,"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It",Ethan Kross,"Kross, Ethan",,"=""0525575235""","=""9780525575238""",0,3.97,Crown Publishing Group,Hardcover,272,2021,2021,,2022/10/05,to-read,to-read (#13),to-read,,,,0,0
472331,Watchmen,Alan             Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",4,4.39,DC Comics,Paperback,416,2005,1987,2022/07/26,2022/07/26,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",4,4.37,Beacon Press,Paperback,165,2006,1946,2022/08/16,2022/08/16,,,read,,,,1,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.13,Tor.com,ebook,144,2017,2017,,2022/05/28,to-read,to-read (#12),to-read,,,,0,0
13235689,How Music Works,David   Byrne,"Byrne, David",,"=""1936365537""","=""9781936365531""",0,4.01,McSweeney's,Hardcover,345,2012,2014,,2022/05/27,to-read,to-read (#11),to-read,,,,0,0
57423838,A City Is Not a Computer: Other Urban Intelligences (Places Books),Shannon Mattern,"Mattern, Shannon",,"=""0691208050""","=""9780691208053""",0,3.76,Princeton University Press,Paperback,187,2021,,,2022/05/27,to-read,to-read (#10),to-read,,,,0,0
52685608,Math Without Numbers,Milo Beckman,"Beckman, Milo",,"=""1524745545""","=""9781524745547""",0,4.10,Dutton,Hardcover,224,2021,2021,,2022/05/27,to-read,to-read (#9),to-read,,,,0,0
2315892,Best Served Cold,Joe Abercrombie,"Abercrombie, Joe",,"=""0575082453""","=""9780575082458""",4,4.24,Gollancz,Hardcover,534,2009,2009,2021/11/18,2021/11/18,,,read,,,,1,0
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,"=""""","=""""",5,4.14,Voyager,Paperback,278,2003,1974,2022/05/13,2017/07/06,,,read,,,,2,0
233667,Firestarter,Stephen        King,"King, Stephen",,"=""""","=""""",4,3.92,Signet,Mass Market Paperback,564,1998,1980,2022/04/18,2022/01/02,,,read,,,,1,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",0,4.06,Dell Publishing,Paperback,303,1999,1973,,2021/11/07,to-read,to-read (#8),to-read,,,,0,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann","Zigmantas Ardickas, Hilda Rosner","=""""","=""""",0,4.08,Bantam Books,Mass Market Paperback,152,1981,1922,,2021/11/07,to-read,to-read (#7),to-read,,,,0,0
36421253,Alice Isn't Dead,Joseph Fink,"Fink, Joseph",,"=""""","=""9780062890139""",0,3.61,Harper Perennial,Hardcover,323,2018,2018,,2021/07/29,to-read,to-read (#6),to-read,,,,0,0
29966530,The Wanderers,Meg Howrey,"Howrey, Meg",,"=""0399574638""","=""9780399574634""",0,3.54,G.P. Putnam's Sons,Hardcover,370,2017,2017,,2021/03/06,to-read,to-read (#5),to-read,,,,0,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",5,4.47,Random House,Hardcover,352,2018,2018,2020/12/28,2020/12/27,,,read,,,,1,0
9917996,'Salem's Lot,Stephen        King,"King, Stephen",,"=""""","=""""",4,4.10,Anchor,Mass Market Paperback,653,2011,1975,2020/12/14,2020/12/15,,,read,,,,1,0
21891372,Batman and Psychology: A Dark and Stormy Knight,Travis Langley,"Langley, Travis",,"=""1620455552""","=""9781620455555""",0,4.06,Turner,Hardcover,356,2012,2012,,2020/10/18,to-read,to-read (#4),to-read,,,,0,0
16992,Kingdom Come,Mark Waid,"Waid, Mark","Alex Ross, Todd Klein","=""1563893304""","=""9781563893308""",5,4.27,Dc Comics,Paperback,231,1998,1996,2020/06/26,2020/06/26,,,read,,,,1,0
12987216,A Once Crowded Sky,Tom King,"King, Tom","Tom Fowler, Steve Bryant, Ruth Lee-Mui, David Ter-Avanesyan","=""1451652003""","=""9781451652000""",0,3.21,"Touchstone, a Division of Simon & Schuster, Inc.",Hardcover,326,2012,2012,,2020/06/07,to-read,to-read (#3),to-read,,,,0,0
902715,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077883""","=""9780575077881""",5,4.36,Gollancz,Trade Paperback,441,2007,2007,2019/04/19,2019/04/14,,,read,"The second book of the First Law Trilogy is a big improvement over the first. It’s paced better, written better, and the characters are fleshed out.",,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",3,4.31,Tor,Mass Market Paperback,324,2004,1985,2020/02/11,2019/12/18,,,read,,,,1,0
37903770,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",3,4.10,W. W. Norton & Company,Paperback,301,2018,2017,2020/05/27,2019/09/18,,,read,,,,1,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",3,4.22,Gollancz,Paperback,515,2007,2006,2019/04/11,2019/04/06,,,read,"The Blade Itself is an enjoyable book, but has some problems. The first and foremost being the author’s prose. Not all of it is bad, but many of his descriptions are wrought with overuse of adjectives. I also roll my eyes as a lot of his phrasing, it being over dramatic and a little cringey like something you would find in a fanfic. Toward the end of the book these problems lessen and I hope that trend continues in the rest of the trilogy. I’ll continue reading for the well-established politics, interesting characters, and complex plot that I’m sure is hiding a lot from us in the first book.",,,1,0
9591398,"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",Catherynne M. Valente,"Valente, Catherynne M.",,"=""0312649614""","=""9780312649616""",2,3.95,Feiwel & Friends,Hardcover,247,2011,2011,2019/10/09,2019/10/09,,,read,,,,1,0
43317482,In the Dream House,Carmen Maria Machado,"Machado, Carmen Maria",,"=""1644450038""","=""9781644450031""",4,4.40,Graywolf Press,Hardcover,251,2019,2019,2020/05/14,2020/05/03,,,read,,,,1,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",3,4.16,William Morrow Paperbacks,Paperback,370,2003,1996,2019/12/13,2019/12/18,,,read,,,,1,0
40090596,Art Matters: Because Your Imagination Can Change the World,Neil Gaiman,"Gaiman, Neil",Chris Riddell,"=""1472260090""","=""9781472260093""",5,4.29,Headline,Kindle Edition,95,2018,2018,2019/10/14,2019/10/14,,,read,,,,1,0
15956006,The History of the World in Bite-Sized Chunks,Emma Marriott,"Marriott, Emma",,"=""1843178869""","=""9781843178866""",4,3.55,Michael O'Mara,Hardcover,192,2012,2012,2019/10/11,2019/09/09,,,read,,,,1,0
34228260,Hatchet,Gary Paulsen,"Paulsen, Gary",Drew  Willis,"=""1481486292""","=""9781481486293""",3,3.79,Simon & Schuster Books for Young Readers,Paperback,207,2017,1987,2019/09/11,2019/09/09,,,read,,,,1,0
25067046,Lost Stars (Star Wars),Claudia Gray,"Gray, Claudia",,"=""1484724984""","=""9781484724989""",3,4.29,Disney Lucasfilm Press,Hardcover,551,2015,2015,2019/09/05,2019/08/31,,,read,,,,1,0
28189985,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,"Hubbard, L. Ron",,"=""1592129579""","=""9781592129577""",1,3.55,Galaxy Press,Paperback,1072,2016,1982,2019/08/25,2019/08/19,,,read,"If this book was 300 pages shorter I could’ve easily given it two stars. It’s not well written, but it does have exciting moments and an interesting plot. These redeemable qualities could’ve carried my rating to two stars if the book wasn’t exhaustively long and bloated. I do not recommend spending your time in this one.",,,1,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",Richard Maxwell,"=""0141439602""","=""9780141439600""",4,3.87,Penguin Books,Paperback,489,2003,1859,2019/06/29,2019/05/23,,,read,,,,1,0
42584179,How Not to Die Alone,Richard Roper,"Roper, Richard",,"=""0525539883""","=""9780525539889""",0,3.68,G.P. Putnam's Sons,Hardcover,321,2019,2019,,2019/06/02,to-read,to-read (#2),to-read,,,,0,0
40997691,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""""","=""""",4,4.35,Orbit,Paperback,603,2015,2008,2019/05/21,2019/05/21,,,read,,,,1,0
40390756,Before She Knew Him,Peter  Swanson,"Swanson, Peter",,"=""""","=""""",3,3.86,William Morrow,Hardcover,309,2019,2019,2019/04/06,2019/04/06,,,read,,,,1,0
29981261,"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,"Hutchison, Dot",,"=""1503989712""","=""9781503989719""",3,4.09,Thomas & Mercer,Kindle Edition,288,2016,2016,2019/04/04,2019/04/04,,,read,,,,1,0
1254642,Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe,"Defoe, Daniel",N.C. Wyeth,"=""0684179466""","=""9780684179469""",4,3.68,Atheneum,Hardcover,386,1983,1719,2019/03/29,2019/03/17,,,read,,,,1,0
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,"=""0449213943""","=""9780449213940""",4,4.10,Ballantine Books,Mass Market Paperback,296,1987,1928,,2017/07/06,,,read,,,,1,0
36124936,The Outsider,Stephen        King,"King, Stephen",,"=""1501180983""","=""9781501180989""",4,4.01,Scribner,Hardcover,561,2018,2018,2019/02/24,2019/02/24,,,read,,,,1,0
6937624,Harry Potter and the Order of the Phoenix,J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0756941636""","=""9780756941635""",5,4.50,FBA Powersetup,Paperback,870,2004,2003,2019/02/02,2019/02/10,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652,2006,2005,2019/02/10,2019/02/10,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2019/02/10,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2019/02/10,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",0,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2017/07/06,,,read,,,,1,0
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.58,Del Rey,Mass Market Paperback,404,2003,1955,,2019/02/10,,,read,,,,1,0
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",Peter S. Beagle,"=""0618346260""","=""9780618346264""",0,4.50,Houghton Mifflin,Paperback,322,1993,1954,,2019/02/10,,,read,,,,1,0
2160454,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",,"=""0613496744""","=""9780613496742""",0,4.57,Scholastic,Library Binding,752,2002,2000,,2019/02/10,,,read,,,,1,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",0,4.40,Houghton Mifflin Harcourt,Paperback,398,2003,1954,2018/02/02,2017/07/06,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.70,Penguin Books ,Paperback,182,1999,1954,,2017/07/06,,,read,,,,1,0
140671,"The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,"Cook, Glen",,"=""""","=""""",0,3.93,Tor Fantasy,Mass Market Paperback,319,1992,1984,,2017/07/06,to-read,to-read (#1),to-read,,,,0,0
28815373,"Smooth Operator (Teddy Fay, #1)",Stuart Woods,"Woods, Stuart",Parnell Hall,"=""0399185267""","=""9780399185267""",0,4.06,G.P. Putnam's Sons,Hardcover,352,2016,2016,,2017/07/06,,,read,,,,1,0
15769,"The Bourne Supremacy (Jason Bourne, #2)",Robert Ludlum,"Ludlum, Robert",,"=""0752863886""","=""9780752863887""",0,4.11,Orion,Mass Market Paperback,688,2004,1986,,2017/07/06,,,read,,,,1,0
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,"Ludlum, Robert",,"=""0752864327""","=""9780752864327""",0,4.05,Orion,Paperback,566,2005,1980,,2017/07/06,,,read,,,,1,0
1037549,"Orcs (Orcs: First Blood, #1-3)",Stan Nicholls,"Nicholls, Stan",,"=""0575074876""","=""9780575074873""",0,3.44,Gollancz,Paperback,711,2004,2002,,2017/07/06,,,read,,,,1,0
234225,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""0340839937""","=""9780340839935""",0,4.28,Hodder,Paperback,604,2006,1965,,2017/07/06,,,read,,,,1,0
